row_names;Nb_proveNAnce;POP_RDA;Latitude;Longitude;Elevation;mean_Mean_Tmean_40;mean_Total_Precipitation_40;mean_Frost_Days_40;mean_DryDay_40;SMImean_summer_40;SMImean_autumn_40;SMImean_spring_40;mean_WetDay;mean_Mean_TMin;Group_provenance
1;1;POP_1;48.8500000000001;-64.25;15;3.45483870967742;1093.95806451613;177.677419354839;194.483870967742;97.4355892473118;97.5862913978495;99.6190978494624;170.774193548387;-0.851612903225806;0
2;2;POP_2;48.8667;-64.6166999999997;91;2.97741935483871;1064.43870967742;190.838709677419;207.741935483871;96.284976344086;95.9312741935483;99.5150763440859;157.516129032258;-1.8741935483871;0
3;3;POP_3;48.2167000000004;-66.6833000000004;426;2.55806451612903;996.677419354839;191.645161290323;209;96.5143086021506;95.7872677419355;99.2464451612904;156.258064516129;-2.13548387096774;0
4;4;POP_4;48.25;-64.9167000000004;170;3.24516129032258;1061.97419354839;179.774193548387;193.322580645161;97.246276344086;96.467476344086;99.5789193548387;171.935483870968;-0.958064516129032;0
5;5;POP_5;48.6667;-66.75;335;1.81612903225806;1013.93225806452;210.967741935484;230.032258064516;95.6173655913979;95.2279473118279;99.0351344086022;135.225806451613;-3.97741935483871;1
6;6;POP_6;48.3667;-65.4000000000003;243;2.84838709677419;1031.62903225806;189.129032258065;208.838709677419;96.567123655914;95.8272473118279;99.3674462365592;156.41935483871;-1.9741935483871;0
7;7;POP_7;48.4167;-66.25;487;1.93548387096774;1018.34516129032;196.967741935484;206.387096774194;97.6383731182795;97.7528903225806;99.3794935483871;158.870967741935;-2.61290322580645;0
8;8;POP_8;50.0499999999997;-74.25;525;-0.338709677419355;917.683870967742;215.806451612903;222.290322580645;95.8973290322581;97.9301376344086;98.9741387096774;142.967741935484;-5.83548387096774;1
9;9;POP_9;46.5833000000001;-75.1667000000006;243;3.91935483870968;1094.12903225806;184.516129032258;228.129032258065;93.7703021505376;93.9820408602151;98.7571193548387;137.129032258065;-2.31935483870968;1
10;10;POP_10;46.7832999999996;-78.7000000000005;365;3.63225806451613;844.68064516129;185.032258064516;239.612903225806;89.2486967741936;87.343640860215;98.5245763440861;125.645161290323;-2.10967741935484;1
11;11;POP_11;48.2167000000004;-79.4832999999999;289;2.50322580645161;888.11935483871;188.935483870968;218.354838709677;92.6843451612903;94.6751;98.9281161290323;146.903225806452;-2.79032258064516;1
12;12;POP_12;49.2832999999996;-71;198;2.11612903225806;877.322580645161;188.903225806452;221.774193548387;94.354388172043;95.4932161290322;98.8226623655914;143.483870967742;-3.00322580645161;1
13;13;POP_13;49.0332999999996;-64.7167000000005;251;2.36451612903226;1030.54193548387;193.451612903226;199.806451612903;96.8562978494624;96.6710064516129;99.5916569892473;165.451612903226;-2.07096774193548;0
14;14;POP_14;49.1833000000003;-77.2832999999994;289;1.09032258064516;840.422580645161;214.645161290323;237.290322580645;90.473576344086;94.6508537634408;98.5413107526882;127.967741935484;-5.35806451612903;1
15;15;POP_15;49.3500000000001;-78.7000000000005;289;1.32903225806452;812.258064516129;209.290322580645;229.193548387097;91.5216849462366;95.6277268817204;98.4568634408602;136.064516129032;-4.73548387096774;1
16;16;POP_16;48.5332999999996;-79.2999999999995;224;2.29032258064516;947.832258064516;190.451612903226;216.451612903226;93.2847279569892;95.832459139785;98.9535956989247;148.806451612903;-3.12258064516129;1
17;17;POP_17;48.6167;-67.2832999999994;167;3.01290322580645;910.609677419355;192.290322580645;225.032258064516;91.7060677419355;89.6386559139785;98.9480817204301;140.225806451613;-2.66129032258065;1
18;18;POP_18;48.2999999999997;-68.1833000000004;320;4.06451612903226;986.806451612903;171.645161290323;203.161290322581;94.2442;93.4565064516129;99.1465043010753;162.096774193548;-0.370967741935484;1
19;19;POP_19;48.25;-64.9167000000004;170;3.23225806451613;1062.11612903226;179.709677419355;193.354838709677;97.2607268817204;96.4989430107527;99.5851483870968;171.903225806452;-0.961290322580645;0
20;20;POP_20;46.25;-75.5832999999994;304;4.09032258064516;1004.29032258065;182.032258064516;228.161290322581;93.001576344086;92.6726279569893;98.5281989247312;137.096774193548;-1.7741935483871;1
21;21;POP_21;47.9167;-72.9167000000005;274;2.39677419354839;905.98064516129;197;236;92.9587741935484;94.2295086021506;98.5563129032258;129.258064516129;-3.71935483870968;1
22;22;POP_22;46.75;-73.0832999999995;365;3.61612903225806;1047.49677419355;186.161290322581;224.161290322581;94.6817462365591;94.3043602150538;98.8066838709678;141.096774193548;-2.1;1
23;23;POP_23;48.9500000000003;-65.2999999999996;441;1.69677419354839;981.454838709677;201.516129032258;210.032258064516;96.5201752688172;96.5659333333333;99.4793494623656;155.225806451613;-3.08709677419355;0
24;24;POP_24;46.3333000000001;-75.1667000000006;259;3.35806451612903;1085.94193548387;203.354838709677;245.258064516129;90.9080935483871;91.3330096774194;98.4400182795699;120;-3.76129032258065;1
