row_names;Corrected_provenance;area;Resist_2_years_2002;Recovery_2_years_2002;Resilience_2_years_2002;Rel.resil_2_years_2002;Resist_mean_3_drought;Recovery_mean_3_drought;Resilience_mean_3_drought;Rel.resil_mean_3_drought;avg_density;avg_double_cell_wall_thickness;lumen_diameter_radial;avg_lumen_diameter;CWR_radial_fois_100;avg_CWR_100;coef_BAI_july_GAMM;coef_wood_density_GAMM;coef_lumen_radial_diameter_GAMM;coef_CWRr_GAMM;coef_BAI_august_GAMM;coef_BAI_sep_GAMM;;coef_BAI_july_dplR;coef_CWRr_dplR;coef_lumen_radial_diameter_dplR;coef_wood_density_dplR
1;1;714.610265151515;0.671764705882353;1.17176470588235;0.777647058823529;0.105294117647059;0.828981481481481;1.39824074074074;1.16194444444444;0.332407407407407;435.541957070707;4.20516060606061;24.0238734848485;23.1126449494949;3.30961459633889;3.53083633586856;0.737175905476743;-0.344585404265438;0.574352615883043;-0.388390706414555;0.556069795402584;0.665724791428626;;0.675758376105416;-0.561125196265687;0.720381027299785;-0.476337724426374
2;2;713.87;0.72725;1.1205;0.809;0.082;0.871708333333333;1.30966666666667;1.14554166666667;0.273416666666667;431.480454545454;4.2077;24.1108909090909;23.3924590909091;3.17213583039091;3.35390410441932;0.784271889234371;-0.0544826954491252;0.578724176605664;-0.370232453868724;0.419431217739009;0.57290621585632;;0.667763219593449;-0.598568676762327;0.666874142220962;-0.388629035873203
3;3;744.859853372434;0.704516129032258;1.17033333333333;0.820666666666667;0.116333333333333;0.836075268817204;1.36688172043011;1.15983870967742;0.316182795698925;431.854398826979;4.20262815249267;24.5312692082111;23.359735483871;3.04359101444633;3.37413080690147;0.755563452584407;-0.546734858448356;0.758501002980865;-0.182891085863628;0.523517817394921;0.661043190234829;;0.591800630411631;-0.67615465288005;0.750138993376414;-0.496250745492873
4;4;657.622342657343;0.743076923076923;1.1216;0.8336;0.0876;0.815384615384615;1.41897435897436;1.12923076923077;0.311923076923077;428.082482517483;4.17029090909091;24.0537265734266;23.341563986014;3.33673006055874;3.43164787633776;0.802231665078878;-0.0056965920962442;0.752424019255503;-0.554856989024241;0.610882504058831;0.714672812164131;;0.516180049166182;-0.507340292441828;0.682495008050942;-0.321988001702601
5;5;714.81947368421;0.674210526315789;1.20210526315789;0.815526315789474;0.141052631578947;0.82390350877193;1.35859649122807;1.12995614035088;0.305877192982456;421.241507177033;4.10402009569378;24.5446784688995;23.4947777511962;2.91637581120383;3.16980734165526;0.775391225465892;0.262283818706381;0.632601054560766;-0.375638816646508;0.511688067661252;0.664627444328676;;0.673322710566351;-0.581985232731476;0.690647700507921;-0.371659686867349
6;6;813.528374655647;0.659545454545455;1.13190476190476;0.741428571428571;0.0895238095238095;0.803030303030303;1.3919696969697;1.13886363636364;0.331439393939394;439.478236914601;4.3189797979798;24.3861900826446;23.3606207529844;3.41040552476492;3.64936136112488;0.756184368900621;-0.223610376629693;0.697105254342975;-0.0642783762355482;0.43691118822055;0.590725725716875;;0.638057714567517;-0.58750405158188;0.689940063995489;-0.362951957972608
7;7;715.432192513369;0.721470588235294;1.13151515151515;0.807272727272727;0.0851515151515152;0.922549019607843;1.3656862745098;1.27455882352941;0.354852941176471;427.925320855615;4.11604812834225;24.2892967914438;23.0897139037433;2.9987679863762;3.31462743926283;0.766102473625476;0.0595396870145932;0.592390909545243;-0.547978758357023;0.369472763517499;0.508389953244278;;0.812861476293673;-0.596227069132701;0.735630736378547;-0.50770664321769
8;8;716.349350649351;0.696;1.14914285714286;0.797142857142857;0.101714285714286;0.827095238095238;1.33838095238095;1.12266666666667;0.294809523809524;423.086233766234;4.13446753246753;24.1709090909091;23.5045064935065;3.05050454537403;3.20607678604935;0.806237233203931;-0.150523468753594;0.693794679439538;-0.351388285354604;0.525309098256746;0.640734175364621;;0.639148856303819;-0.691941383535374;0.75305814021255;-0.585300324857974
9;9;756.249893048128;0.686176470588235;1.169375;0.774375;0.085;0.835392156862745;1.35;1.11676470588235;0.276127450980392;417.975374331551;4.15248021390374;24.9339636363636;24.0360344919786;2.90939070244626;3.11689464556043;0.750166548647271;-0.313577193165336;0.749496215651539;-0.383502860984571;0.620461761233869;0.758052175734047;;0.582079102020232;-0.660551131211539;0.73831741965051;-0.554110577927899
10;10;845.18601010101;0.690277777777778;1.32970588235294;0.922352941176471;0.228235294117647;0.806203703703704;1.51208333333333;1.22402777777778;0.416805555555555;420.775303030303;4.0407101010101;23.8590601010101;23.1148972222222;3.01326497362222;3.17612107896452;0.799321570538634;-0.22827813877762;0.518433471598805;-0.52025547633776;0.527867470217114;0.558836695117326;;0.779580431318887;-0.517326848438886;0.662588208068067;-0.360767325623552
